,episodes,reward
1470,294,27.0
1471,294,17.0
1472,294,10.0
1473,294,33.0
1474,294,50.0
1475,295,33.0
1476,295,16.0
1477,295,11.0
1478,295,23.0
1479,295,18.0
1480,296,11.0
1481,296,21.0
1482,296,11.0
1483,296,26.0
1484,296,18.0
1485,297,69.0
1486,297,23.0
1487,297,9.0
1488,297,19.0
1489,297,22.0
1490,298,25.0
1491,298,24.0
1492,298,21.0
1493,298,23.0
1494,298,26.0
1495,299,14.0
1496,299,22.0
1497,299,7.0
1498,299,13.0
1499,299,17.0
1500,300,23.0
1501,300,16.0
1502,300,16.0
1503,300,22.0
1504,300,37.0
1505,301,15.0
1506,301,7.0
1507,301,8.0
1508,301,15.0
1509,301,28.0
1510,302,17.0
1511,302,24.0
1512,302,19.0
1513,302,22.0
1514,302,10.0
1515,303,24.0
1516,303,21.0
1517,303,16.0
1518,303,19.0
1519,303,25.0
1520,304,27.0
1521,304,11.0
1522,304,14.0
1523,304,17.0
1524,304,19.0
1525,305,14.0
1526,305,18.0
1527,305,8.0
1528,305,39.0
1529,305,54.0
1530,306,18.0
1531,306,14.0
1532,306,19.0
1533,306,18.0
1534,306,11.0
1535,307,17.0
1536,307,14.0
1537,307,34.0
1538,307,38.0
1539,307,24.0
1540,308,15.0
1541,308,10.0
1542,308,15.0
1543,308,14.0
1544,308,39.0
1545,309,22.0
1546,309,21.0
1547,309,9.0
1548,309,24.0
1549,309,11.0
1550,310,26.0
1551,310,19.0
1552,310,17.0
1553,310,10.0
1554,310,24.0
1555,311,17.0
1556,311,10.0
1557,311,15.0
1558,311,13.0
1559,311,24.0
1560,312,23.0
1561,312,28.0
1562,312,13.0
1563,312,17.0
1564,312,12.0
1565,313,23.0
1566,313,16.0
1567,313,11.0
1568,313,6.0
1569,313,15.0
1570,314,16.0
1571,314,23.0
1572,314,13.0
1573,314,16.0
1574,314,31.0
1575,315,37.0
1576,315,14.0
1577,315,7.0
1578,315,15.0
1579,315,20.0
1580,316,31.0
1581,316,13.0
1582,316,14.0
1583,316,10.0
1584,316,24.0
1585,317,28.0
1586,317,22.0
1587,317,14.0
1588,317,22.0
1589,317,40.0
1590,318,13.0
1591,318,12.0
1592,318,24.0
1593,318,9.0
1594,318,13.0
1595,319,19.0
1596,319,14.0
1597,319,33.0
1598,319,14.0
1599,319,17.0
1600,320,18.0
1601,320,23.0
1602,320,16.0
1603,320,42.0
1604,320,50.0
1605,321,44.0
1606,321,10.0
1607,321,56.0
1608,321,19.0
1609,321,10.0
1610,322,8.0
1611,322,25.0
1612,322,27.0
1613,322,7.0
1614,322,7.0
1615,323,31.0
1616,323,24.0
1617,323,25.0
1618,323,29.0
1619,323,19.0
1620,324,23.0
1621,324,17.0
1622,324,16.0
1623,324,9.0
1624,324,39.0
1625,325,16.0
1626,325,25.0
1627,325,6.0
1628,325,9.0
1629,325,23.0
1630,326,15.0
1631,326,27.0
1632,326,7.0
1633,326,28.0
1634,326,30.0
1635,327,57.0
1636,327,12.0
1637,327,12.0
1638,327,35.0
1639,327,32.0
1640,328,36.0
1641,328,22.0
1642,328,21.0
1643,328,42.0
1644,328,11.0
1645,329,30.0
1646,329,30.0
1647,329,13.0
1648,329,32.0
1649,329,15.0
1650,330,23.0
1651,330,23.0
1652,330,7.0
1653,330,40.0
1654,330,15.0
1655,331,70.0
1656,331,21.0
1657,331,18.0
1658,331,17.0
1659,331,35.0
